Dept_Code,Department,Div_Code,Division,Cost_Center,CostCenterKey
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Adult Day Care,46_4615_Adult Day Care
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Adult Guardianship,46_4615_Adult Guardianship
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Adult Protective Services,46_4615_Adult Protective Services
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Business Advisory Council,46_4615_Business Advisory Council
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Child Day Care Admin,46_4615_Child Day Care Admin
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Child Support Enforcement,46_4615_Child Support Enforcement
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Child Support Enforcement Incentive Fund,46_4615_Child Support Enforcement Incentive Fund
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Crisis Intervention Program,46_4615_Crisis Intervention Program
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Daily Grind I/Swinburne,46_4615_Daily Grind I/Swinburne
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Daily Grind II/Sunnybrook,46_4615_Daily Grind II/Sunnybrook
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Duke Energy Progress,46_4615_Duke Energy Progress
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Economic Self Sufficiency - Admin,46_4615_Economic Self Sufficiency - Admin
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Economic Services - Generic,46_4615_Economic Services - Generic
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Energy Program,46_4615_Energy Program
46,Human Services Department,4615,Social Services Economic Self Sufficiency,ESS Central Charges,46_4615_ESS Central Charges
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Food Stamps,46_4615_Food Stamps
46,Human Services Department,4615,Social Services Economic Self Sufficiency,FS Employment & Training,46_4615_FS Employment & Training
46,Human Services Department,4615,Social Services Economic Self Sufficiency,In Home Aide-County,46_4615_In Home Aide-County
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Job Link Primary,46_4615_Job Link Primary
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Low-Income Home Energy Assistance,46_4615_Low-Income Home Energy Assistance
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Medicare LIS and MSP Enrollment Exp,46_4615_Medicare LIS and MSP Enrollment Exp
46,Human Services Department,4615,Social Services Economic Self Sufficiency,PACE,46_4615_PACE
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Personnel/Admin Costs-Adult SS,46_4615_Personnel/Admin Costs-Adult SS
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Program & Staff Development,46_4615_Program & Staff Development
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Progress Energy Donation,46_4615_Progress Energy Donation
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Resources for Seniors Outpost,46_4615_Resources for Seniors Outpost
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Rex Outpost,46_4615_Rex Outpost
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Services For The Blind,46_4615_Services For The Blind
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Special Asst/Aged Disabled,46_4615_Special Asst/Aged Disabled
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Subsidy Child Care Fund,46_4615_Subsidy Child Care Fund
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Supported Employment,46_4615_Supported Employment
46,Human Services Department,4615,Social Services Economic Self Sufficiency,TANF Co Reimbursement,46_4615_TANF Co Reimbursement
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Tanf EA Program,46_4615_Tanf EA Program
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Universal Economic Services,46_4615_Universal Economic Services
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Wake Electric Round Up Program,46_4615_Wake Electric Round Up Program
46,Human Services Department,4615,Social Services Economic Self Sufficiency,WHS Outpost,46_4615_WHS Outpost
46,Human Services Department,4615,Social Services Economic Self Sufficiency,WMC Outpost,46_4615_WMC Outpost
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Workfirst,46_4615_Workfirst
46,Human Services Department,4615,Social Services Economic Self Sufficiency,Workforce Development,46_4615_Workforce Development
46,Human Services Department,4625,Child Welfare,Adoption Assistance,46_4625_Adoption Assistance
46,Human Services Department,4625,Child Welfare,Casey Family Programs,46_4625_Casey Family Programs
46,Human Services Department,4625,Child Welfare,Child Welfare - Admin,46_4625_Child Welfare - Admin
46,Human Services Department,4625,Child Welfare,Child Welfare Comm Partn,46_4625_Child Welfare Comm Partn
46,Human Services Department,4625,Child Welfare,Child Welfare Donations,46_4625_Child Welfare Donations
46,Human Services Department,4625,Child Welfare,Child Welfare Family Support Services,46_4625_Child Welfare Family Support Services
46,Human Services Department,4625,Child Welfare,Community Response Program,46_4625_Community Response Program
46,Human Services Department,4625,Child Welfare,Continuous Quality Improvement,46_4625_Continuous Quality Improvement
46,Human Services Department,4625,Child Welfare,CW -  Generic,46_4625_CW -  Generic
46,Human Services Department,4625,Child Welfare,CW Core Services,46_4625_CW Core Services
46,Human Services Department,4625,Child Welfare,Family Finding Pilot,46_4625_Family Finding Pilot
46,Human Services Department,4625,Child Welfare,FC Book Bag Drive,46_4625_FC Book Bag Drive
46,Human Services Department,4625,Child Welfare,FC Book Bag Drive Donations,46_4625_FC Book Bag Drive Donations
46,Human Services Department,4625,Child Welfare,FC Evening of Elegance Donations,46_4625_FC Evening of Elegance Donations
46,Human Services Department,4625,Child Welfare,FC Evening of Elegance Fund,46_4625_FC Evening of Elegance Fund
46,Human Services Department,4625,Child Welfare,Foster Care Supplement,46_4625_Foster Care Supplement
46,Human Services Department,4625,Child Welfare,IV E Foster Care Program,46_4625_IV E Foster Care Program
46,Human Services Department,4625,Child Welfare,Links Trust Fund,46_4625_Links Trust Fund
46,Human Services Department,4625,Child Welfare,Special Adoption Fund,46_4625_Special Adoption Fund
46,Human Services Department,4625,Child Welfare,Title IV-B Family Reunification,46_4625_Title IV-B Family Reunification
46,Human Services Department,4625,Child Welfare,Wake House,46_4625_Wake House
46,Human Services Department,4625,Child Welfare,Wake House Donations,46_4625_Wake House Donations
46,Human Services Department,4625,Child Welfare,Wake House Fund,46_4625_Wake House Fund
46,Human Services Department,4635,Children Youth and Family,4 H Youth Development,46_4635_4 H Youth Development
46,Human Services Department,4635,Children Youth and Family,4-H Overnight Camp,46_4635_4-H Overnight Camp
46,Human Services Department,4635,Children Youth and Family,Care Coordination for Children,46_4635_Care Coordination For Children
46,Human Services Department,4635,Children Youth and Family,Child Health Promotion,46_4635_Child Health Promotion
46,Human Services Department,4635,Children Youth and Family,Childcare Health Consultant Program,46_4635_Childcare Health Consultant Program
46,Human Services Department,4635,Children Youth and Family,Children Youth & Family - Admin,46_4635_Children Youth & Family - Admin
46,Human Services Department,4635,Children Youth and Family,Children Youth & Family - Generic,46_4635_Children Youth & Family - Generic
46,Human Services Department,4635,Children Youth and Family,DSS Respite Services,46_4635_DSS Respite Services
46,Human Services Department,4635,Children Youth and Family,Every Teen Counts,46_4635_Every Teen Counts
46,Human Services Department,4635,Children Youth and Family,Family Support,46_4635_Family Support
46,Human Services Department,4635,Children Youth and Family,Kid's First,46_4635_Kid's First
46,Human Services Department,4635,Children Youth and Family,Maternal Women's Prevention Health,46_4635_Maternal Women's Prevention Health
46,Human Services Department,4635,Children Youth and Family,Nurse Family Partnership,46_4635_Nurse Family Partnership
46,Human Services Department,4635,Children Youth and Family,Nurse Mentoring,46_4635_Nurse Mentoring
46,Human Services Department,4635,Children Youth and Family,OJJ-4 H,46_4635_OJJ-4 H
46,Human Services Department,4635,Children Youth and Family,Pregnancy Care Management,46_4635_Pregnancy Care Management
46,Human Services Department,4635,Children Youth and Family,Regional Breastfeeding Mini-Grant,46_4635_Regional Breastfeeding Mini-Grant
46,Human Services Department,4635,Children Youth and Family,Regional WIC Lactation Training Center,46_4635_Regional WIC Lactation Training Center
46,Human Services Department,4635,Children Youth and Family,School Based Public Health,46_4635_School Based Public Health
46,Human Services Department,4635,Children Youth and Family,Together for a Better Education,46_4635_Together for a Better Education
46,Human Services Department,4635,Children Youth and Family,WIC Administration,46_4635_WIC Administration
46,Human Services Department,4635,Children Youth and Family,WIC Breastfeeding,46_4635_WIC Breastfeeding
46,Human Services Department,4635,Children Youth and Family,WIC Breastfeeding Peer Counseling,46_4635_WIC Breastfeeding Peer Counseling
46,Human Services Department,4635,Children Youth and Family,WIC Client Services,46_4635_WIC Client Services
46,Human Services Department,4635,Children Youth and Family,WIC Nutrition Education,46_4635_WIC Nutrition Education
46,Human Services Department,4635,Children Youth and Family,WIC Regional Breastfeeding Training,46_4635_WIC Regional Breastfeeding Training
46,Human Services Department,4635,Children Youth and Family,Williams/Agent Account,46_4635_Williams/Agent Account
46,Human Services Department,4645,Public Health,4H Youth Development,46_4645_4H Youth Development
46,Human Services Department,4645,Public Health,Aids Case Management,46_4645_Aids Case Management
46,Human Services Department,4645,Public Health,ARTS - Active Routes to School,46_4645_ARTS - Active Routes to School
46,Human Services Department,4645,Public Health,ASU Parents Matter,46_4645_ASU Parents Matter
46,Human Services Department,4645,Public Health,Care Coordination for Children,46_4645_Care Coordination for Children
46,Human Services Department,4645,Public Health,CD Surveillance Team,46_4645_CD Surveillance Team
46,Human Services Department,4645,Public Health,CDC - TB Control,46_4645_CDC - TB Control
46,Human Services Department,4645,Public Health,Child Fatality Prevention,46_4645_Child Fatality Prevention
46,Human Services Department,4645,Public Health,Child Health Promotion,46_4645_Child Health Promotion
46,Human Services Department,4645,Public Health,Comp Breast Crvcl Cncr Control Program,46_4645_Comp Breast Crvcl Cncr Control Program
46,Human Services Department,4645,Public Health,Disaster Preparedness,46_4645_Disaster Preparedness
46,Human Services Department,4645,Public Health,Ebola Preparedness,46_4645_Ebola Preparedness
46,Human Services Department,4645,Public Health,Emergency Overdose:Local Mitigation to the Opioid Crisis,46_4645_Emergency Overdose:Local Mitigation to the Opioid Crisis
46,Human Services Department,4645,Public Health,Epidemiology Surveillance,46_4645_Epidemiology Surveillance
46,Human Services Department,4645,Public Health,FOCUS HCV Program,46_4645_FOCUS HCV Program
46,Human Services Department,4645,Public Health,General Aid to Counties,46_4645_General Aid to Counties
46,Human Services Department,4645,Public Health,Gonorrhea Partner Services (GPS),46_4645_Gonorrhea Partner Services (GPS)
46,Human Services Department,4645,Public Health,GSK Making Proud Choices,46_4645_GSK Making Proud Choices
46,Human Services Department,4645,Public Health,Health Promotion Chronic Disease Prevention,46_4645_Health Promotion Chronic Disease Prevention
46,Human Services Department,4645,Public Health,Healthy Communities,46_4645_Healthy Communities
46,Human Services Department,4645,Public Health,HIV PrEP,46_4645_HIV PrEP
46,Human Services Department,4645,Public Health,HIV Testing & Counseling,46_4645_HIV Testing & Counseling
46,Human Services Department,4645,Public Health,HIV/STD Hammond Rd Testing Site,46_4645_HIV/STD Hammond Rd Testing Site
46,Human Services Department,4645,Public Health,Immunization Outreach,46_4645_Immunization Outreach
46,Human Services Department,4645,Public Health,Integrated Program for Prevention of Drug Overdose & Tobacco,46_4645_Integrated Program for Prevention of Drug Overdose & Tobacco
46,Human Services Department,4645,Public Health,Integrated Targeted Testing Services,46_4645_Integrated Targeted Testing Services
46,Human Services Department,4645,Public Health,Maternal Women's Prevention Health,46_4645_Maternal Women's Prevention Health
46,Human Services Department,4645,Public Health,Men's Health Clinic (CAPUS) - GF,46_4645_Men's Health Clinic (CAPUS) - GF
46,Human Services Department,4645,Public Health,Migrant Health,46_4645_Migrant Health
46,Human Services Department,4645,Public Health,Mosquito & Tick Suppression,46_4645_Mosquito & Tick Suppression
46,Human Services Department,4645,Public Health,NC Public Health Emergency Preparedness,46_4645_NC Public Health Emergency Preparedness
46,Human Services Department,4645,Public Health,Nurse Family Partnership,46_4645_Nurse Family Partnership
46,Human Services Department,4645,Public Health,"Occupationl Health, Safety & Infection Control","46_4645_Occupationl Health, Safety & Infection Control"
46,Human Services Department,4645,Public Health,OJJ - 4H,46_4645_OJJ - 4H
46,Human Services Department,4645,Public Health,PH Reg'l Surveillance Team,46_4645_PH Reg'l Surveillance Team
46,Human Services Department,4645,Public Health,Pregnancy Care Management,46_4645_Pregnancy Care Management
46,Human Services Department,4645,Public Health,Presciption Drug Overdose,46_4645_Presciption Drug Overdose
46,Human Services Department,4645,Public Health,Project Assist-State,46_4645_Project Assist-State
46,Human Services Department,4645,Public Health,Project Lazarus,46_4645_Project Lazarus
46,Human Services Department,4645,Public Health,Public Health -  Generic,46_4645_Public Health -  Generic
46,Human Services Department,4645,Public Health,Public Health - Admin,46_4645_Public Health - Admin
46,Human Services Department,4645,Public Health,Public Health Donations,46_4645_Public Health Donations
46,Human Services Department,4645,Public Health,Safe Spaces (CAPUS),46_4645_Safe Spaces (CAPUS)
46,Human Services Department,4645,Public Health,School Based Public Health,46_4645_School Based Public Health
46,Human Services Department,4645,Public Health,STD Aids Prevention,46_4645_STD Aids Prevention
46,Human Services Department,4645,Public Health,Substance Abuse Centers,46_4645_Substance Abuse Centers
46,Human Services Department,4645,Public Health,TB - Medical Services,46_4645_TB - Medical Services
46,Human Services Department,4645,Public Health,TB Control,46_4645_TB Control
46,Human Services Department,4645,Public Health,Tobacco Prevention,46_4645_Tobacco Prevention
46,Human Services Department,4645,Public Health,Transitional Care Coordination Grant,46_4645_Transitional Care Coordination Grant
46,Human Services Department,4645,Public Health,Vital Records,46_4645_Vital Records
46,Human Services Department,4645,Public Health,WIC Administration,46_4645_WIC Administration
46,Human Services Department,4645,Public Health,WIC Breastfeeding,46_4645_WIC Breastfeeding
46,Human Services Department,4645,Public Health,WIC Breastfeeding Peer Counseling,46_4645_WIC Breastfeeding Peer Counseling
46,Human Services Department,4645,Public Health,WIC Client Services,46_4645_WIC Client Services
46,Human Services Department,4645,Public Health,WIC Nutrition Education,46_4645_WIC Nutrition Education
46,Human Services Department,4645,Public Health,WIC Regional Breastfeeding Training,46_4645_WIC Regional Breastfeeding Training
46,Human Services Department,4645,Public Health,Wise Woman,46_4645_Wise Woman
46,Human Services Department,4645,Public Health,Zika Virus Mosquito Control,46_4645_Zika Virus Mosquito Control
46,Human Services Department,4655,Health Clinics,Child Health Clinic,46_4655_Child Health Clinic
46,Human Services Department,4655,Health Clinics,Child Health Clinic - Grants Fund,46_4655_Child Health Clinic - Grants Fund
46,Human Services Department,4655,Health Clinics,Child Health Clinic Donations,46_4655_Child Health Clinic Donations
46,Human Services Department,4655,Health Clinics,Clinical Services-Dental,46_4655_Clinical Services-Dental
46,Human Services Department,4655,Health Clinics,Community Health Grant - Dental Clinic,46_4655_Community Health Grant - Dental Clinic
46,Human Services Department,4655,Health Clinics,Delta Dental/Healthy Smiles,46_4655_Delta Dental/Healthy Smiles
46,Human Services Department,4655,Health Clinics,Health Clinics -  Generic,46_4655_Health Clinics -  Generic
46,Human Services Department,4655,Health Clinics,Health Clinics - Admin,46_4655_Health Clinics - Admin
46,Human Services Department,4655,Health Clinics,Health Equity Men's Clinic,46_4655_Health Equity Men's Clinic
46,Human Services Department,4655,Health Clinics,HIV Clinic Donations,46_4655_HIV Clinic Donations
46,Human Services Department,4655,Health Clinics,HIV/AIDS Clinic,46_4655_HIV/AIDS Clinic
46,Human Services Department,4655,Health Clinics,Immunization Action Plan,46_4655_Immunization Action Plan
46,Human Services Department,4655,Health Clinics,Immunization/Foreign Travel/Refugee Clinic,46_4655_Immunization/Foreign Travel/Refugee Clinic
46,Human Services Department,4655,Health Clinics,Laboratory,46_4655_Laboratory
46,Human Services Department,4655,Health Clinics,Maternal Health Clinic G,46_4655_Maternal Health Clinic G
46,Human Services Department,4655,Health Clinics,Minority AIDS Initiative,46_4655_Minority AIDS Initiative
46,Human Services Department,4655,Health Clinics,Parents Matter - Clinic F,46_4655_Parents Matter - Clinic F
46,Human Services Department,4655,Health Clinics,Pharmacy - MH,46_4655_Pharmacy - MH
46,Human Services Department,4655,Health Clinics,Pharmacy - PH,46_4655_Pharmacy - PH
46,Human Services Department,4655,Health Clinics,Pharmacy Inventory Purchases,46_4655_Pharmacy Inventory Purchases
46,Human Services Department,4655,Health Clinics,Refugee Health Assessments,46_4655_Refugee Health Assessments
46,Human Services Department,4655,Health Clinics,Reimb By UNC/Clinic A Expenditures,46_4655_Reimb By UNC/Clinic A Expenditures
46,Human Services Department,4655,Health Clinics,Ryan White Care B Primary Medical,46_4655_Ryan White Care B Primary Medical
46,Human Services Department,4655,Health Clinics,Ryan White Emerging Communities,46_4655_Ryan White Emerging Communities
46,Human Services Department,4655,Health Clinics,Ryan White Title III,46_4655_Ryan White Title III
46,Human Services Department,4655,Health Clinics,STD Clinic,46_4655_STD Clinic
46,Human Services Department,4655,Health Clinics,STD Drugs,46_4655_STD Drugs
46,Human Services Department,4655,Health Clinics,Women's Health Clinic F,46_4655_Women's Health Clinic F
46,Human Services Department,4665,Behavioral Health,Crisis & Assessment Fund,46_4665_Crisis & Assessment Fund
46,Human Services Department,4665,Behavioral Health,Drop In Center,46_4665_Drop In Center
46,Human Services Department,4675,Administration and Operations,ACP - Alternatives to Commitment,46_4675_ACP - Alternatives to Commitment
46,Human Services Department,4675,Administration and Operations,Admin-Housing,46_4675_Admin-Housing
46,Human Services Department,4675,Administration and Operations,Business Analytics and Project Management,46_4675_Business Analytics and Project Management
46,Human Services Department,4675,Administration and Operations,Central Charges-1571,46_4675_Central Charges-1571
46,Human Services Department,4675,Administration and Operations,Client Accounting,46_4675_Client Accounting
46,Human Services Department,4675,Administration and Operations,Client Transportation-Medicaid,46_4675_Client Transportation-Medicaid
46,Human Services Department,4675,Administration and Operations,Community Detention Program,46_4675_Community Detention Program
46,Human Services Department,4675,Administration and Operations,Community Outreach Team,46_4675_Community Outreach Team
46,Human Services Department,4675,Administration and Operations,Consumer Experience Management,46_4675_Consumer Experience Management
46,Human Services Department,4675,Administration and Operations,Consumer Records,46_4675_Consumer Records
46,Human Services Department,4675,Administration and Operations,Contracts/Grants Management,46_4675_Contracts/Grants Management
46,Human Services Department,4675,Administration and Operations,Cool For Wake Donations,46_4675_Cool For Wake Donations
46,Human Services Department,4675,Administration and Operations,Cornerstone,46_4675_Cornerstone
46,Human Services Department,4675,Administration and Operations,Customer Service/Call Center,46_4675_Customer Service/Call Center
46,Human Services Department,4675,Administration and Operations,Drug Treatment Court FY14 -16,46_4675_Drug Treatment Court FY14 -16
46,Human Services Department,4675,Administration and Operations,East Wake Gang Prev Partnership,46_4675_East Wake Gang Prev Partnership
46,Human Services Department,4675,Administration and Operations,East Wake Gang Prevention Donations,46_4675_East Wake Gang Prevention Donations
46,Human Services Department,4675,Administration and Operations,ERC Administration,46_4675_ERC Administration
46,Human Services Department,4675,Administration and Operations,Finance Office,46_4675_Finance Office
46,Human Services Department,4675,Administration and Operations,FY09 McKinney Grant,46_4675_FY09 McKinney Grant
46,Human Services Department,4675,Administration and Operations,H/S - Contingency For Future Grants/Awards,46_4675_H/S - Contingency For Future Grants/Awards
46,Human Services Department,4675,Administration and Operations,Holiday Cheer Donations,46_4675_Holiday Cheer Donations
46,Human Services Department,4675,Administration and Operations,Housing & Supp Services,46_4675_Housing & Supp Services
46,Human Services Department,4675,Administration and Operations,Housing Donations,46_4675_Housing Donations
46,Human Services Department,4675,Administration and Operations,HS Administration - Generic,46_4675_HS Administration - Generic
46,Human Services Department,4675,Administration and Operations,HS Data Support Group,46_4675_HS Data Support Group
46,Human Services Department,4675,Administration and Operations,HS Technology Contracts,46_4675_HS Technology Contracts
46,Human Services Department,4675,Administration and Operations,Human Capital Development,46_4675_Human Capital Development
46,Human Services Department,4675,Administration and Operations,Human Services - Admin,46_4675_Human Services - Admin
46,Human Services Department,4675,Administration and Operations,Incentive Housing Dormitory,46_4675_Incentive Housing Dormitory
46,Human Services Department,4675,Administration and Operations,Juvenile Detention Center,46_4675_Juvenile Detention Center
46,Human Services Department,4675,Administration and Operations,Millbrook HS Center,46_4675_Millbrook HS Center
46,Human Services Department,4675,Administration and Operations,NRC Administration,46_4675_NRC Administration
46,Human Services Department,4675,Administration and Operations,Oak City Multi-Services Center,46_4675_Oak City Multi-Services Center
46,Human Services Department,4675,Administration and Operations,OJJ Support,46_4675_OJJ Support
46,Human Services Department,4675,Administration and Operations,Organizational Development,46_4675_Organizational Development
46,Human Services Department,4675,Administration and Operations,Program Integrity,46_4675_Program Integrity
46,Human Services Department,4675,Administration and Operations,Quality Improvement 101,46_4675_Quality Improvement 101
46,Human Services Department,4675,Administration and Operations,Quality Management,46_4675_Quality Management
46,Human Services Department,4675,Administration and Operations,Recovery Court FY17-19,46_4675_Recovery Court FY17-19
46,Human Services Department,4675,Administration and Operations,S. Wilmington St Center/Grants Fund,46_4675_S. Wilmington St Center/Grants Fund
46,Human Services Department,4675,Administration and Operations,School Buddies,46_4675_School Buddies
46,Human Services Department,4675,Administration and Operations,School Buddies Donations,46_4675_School Buddies Donations
46,Human Services Department,4675,Administration and Operations,Social & Economic Vitality,46_4675_Social & Economic Vitality
46,Human Services Department,4675,Administration and Operations,South Wilmington Street Center,46_4675_South Wilmington Street Center
46,Human Services Department,4675,Administration and Operations,SPCR 2011 - 2/11-1/12,46_4675_SPCR 2011 - 2/11-1/12
46,Human Services Department,4675,Administration and Operations,Specialty Court Programs,46_4675_Specialty Court Programs
46,Human Services Department,4675,Administration and Operations,SRC Administration,46_4675_SRC Administration
46,Human Services Department,4675,Administration and Operations,Staff Recruitment/Retention,46_4675_Staff Recruitment/Retention
46,Human Services Department,4675,Administration and Operations,Summer Camps Donations,46_4675_Summer Camps Donations
46,Human Services Department,4675,Administration and Operations,Supported Housing Team,46_4675_Supported Housing Team
46,Human Services Department,4675,Administration and Operations,Veteran's Homeless Services- General Fund,46_4675_Veteran's Homeless Services- General Fund
46,Human Services Department,4675,Administration and Operations,Warmth For Wake Donations,46_4675_Warmth For Wake Donations
46,Human Services Department,4675,Administration and Operations,Western Wake Human Services,46_4675_Western Wake Human Services
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Administration,46_4685_Administration
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Adult Services,46_4685_Adult Services
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Behaviorial Health - Admin (MCO),46_4685_Behaviorial Health - Admin (MCO)
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Crisis Services,46_4685_Crisis Services
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Judiciary,46_4685_Judiciary
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Recovery,46_4685_Recovery
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Residential,46_4685_Residential
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Support,46_4685_Support
46,Human Services Department,4685,Behavioral Health - Managed Care Division,Treatment,46_4685_Treatment
46,Human Services Department,4699,Human Services Reserves,Human Services Reserves,46_4699_Human Services Reserves
46,Human Services Department,46HS,HS Housing,Area Admn HUD Housing Project,46_46HS_Area Admn HUD Housing Project
46,Human Services Department,46HS,HS Housing,SPCR 2009 - 2/09-1/10,46_46HS_SPCR 2009 - 2/09-1/10
47,Housing and Community Revitalization,4701,Housing (General Fund),ADMIN - Housing,47_4701_ADMIN - Housing
47,Housing and Community Revitalization,4701,Housing (General Fund),Community Outreach Team,47_4701_Community Outreach Team
47,Housing and Community Revitalization,4701,Housing (General Fund),Cornerstone,47_4701_Cornerstone
47,Housing and Community Revitalization,4701,Housing (General Fund),Housing & Supp Services,47_4701_Housing & Supp Services
47,Housing and Community Revitalization,4701,Housing (General Fund),Housing Resource Team,47_4701_Housing Resource Team
47,Housing and Community Revitalization,4701,Housing (General Fund),Housing Transfers,47_4701_Housing Transfers
47,Housing and Community Revitalization,4701,Housing (General Fund),Incentive Housing Dormitory,47_4701_Incentive Housing Dormitory
47,Housing and Community Revitalization,4701,Housing (General Fund),McKinney Grant,47_4701_McKinney Grant
47,Housing and Community Revitalization,4701,Housing (General Fund),South Wilmington Street Center,47_4701_South Wilmington Street Center
47,Housing and Community Revitalization,4701,Housing (General Fund),Supported Housing Team,47_4701_Supported Housing Team
47,Housing and Community Revitalization,4701,Housing (General Fund),Veteran's Homeless Services,47_4701_Veteran's Homeless Services
47,Housing and Community Revitalization,47BG,CDBG,CDBG 09 Administration,47_47BG_CDBG 09 Administration
47,Housing and Community Revitalization,47BG,CDBG,CDBG 12 Public Facilities,47_47BG_CDBG 12 Public Facilities
47,Housing and Community Revitalization,47BG,CDBG,CDBG 13 Public Facilities,47_47BG_CDBG 13 Public Facilities
47,Housing and Community Revitalization,47BG,CDBG,CDBG 14 Public Facilities,47_47BG_CDBG 14 Public Facilities
47,Housing and Community Revitalization,47BG,CDBG,CDBG 14 Rehab,47_47BG_CDBG 14 Rehab
47,Housing and Community Revitalization,47BG,CDBG,CDBG 15 Administration,47_47BG_CDBG 15 Administration
47,Housing and Community Revitalization,47BG,CDBG,CDBG 15 Housing Development,47_47BG_CDBG 15 Housing Development
47,Housing and Community Revitalization,47BG,CDBG,CDBG 15 Public Facilities,47_47BG_CDBG 15 Public Facilities
47,Housing and Community Revitalization,47BG,CDBG,CDBG 15 Rehab,47_47BG_CDBG 15 Rehab
47,Housing and Community Revitalization,47BG,CDBG,CDBG 16 Administration,47_47BG_CDBG 16 Administration
47,Housing and Community Revitalization,47BG,CDBG,CDBG 16 Housing Development,47_47BG_CDBG 16 Housing Development
47,Housing and Community Revitalization,47BG,CDBG,CDBG 16 Public Facilities,47_47BG_CDBG 16 Public Facilities
47,Housing and Community Revitalization,47BG,CDBG,CDBG 16 Rehab,47_47BG_CDBG 16 Rehab
47,Housing and Community Revitalization,47BG,CDBG,CDBG 17 Administration,47_47BG_CDBG 17 Administration
47,Housing and Community Revitalization,47BG,CDBG,CDBG 17 Public Facilities,47_47BG_CDBG 17 Public Facilities
47,Housing and Community Revitalization,47BG,CDBG,CDBG 17 Rehab,47_47BG_CDBG 17 Rehab
47,Housing and Community Revitalization,47BG,CDBG,CDBG 18 Administration,47_47BG_CDBG 18 Administration
47,Housing and Community Revitalization,47BG,CDBG,CDBG 18 Public Facilities,47_47BG_CDBG 18 Public Facilities
47,Housing and Community Revitalization,47BG,CDBG,CDBG 18 Rehab,47_47BG_CDBG 18 Rehab
47,Housing and Community Revitalization,47BG,CDBG,CDBG Program Income,47_47BG_CDBG Program Income
47,Housing and Community Revitalization,47BG,CDBG,CFY18 CDBG 17 Housing Development,47_47BG_CFY18 CDBG 17 Housing Development
47,Housing and Community Revitalization,47CO,County Match,CIP Program Income,47_47CO_CIP Program Income
47,Housing and Community Revitalization,47CO,County Match,County Funds 12,47_47CO_County Funds 12
47,Housing and Community Revitalization,47CO,County Match,County Funds 13,47_47CO_County Funds 13
47,Housing and Community Revitalization,47CO,County Match,County Funds 14,47_47CO_County Funds 14
47,Housing and Community Revitalization,47CO,County Match,County Funds 15,47_47CO_County Funds 15
47,Housing and Community Revitalization,47CO,County Match,County Funds 16,47_47CO_County Funds 16
47,Housing and Community Revitalization,47CO,County Match,County Funds 17,47_47CO_County Funds 17
47,Housing and Community Revitalization,47CO,County Match,County Funds 18,47_47CO_County Funds 18
47,Housing and Community Revitalization,47EG,Emergency Solutions Grant,Emergency Solutions Grant 16,47_47EG_Emergency Solutions Grant 16
47,Housing and Community Revitalization,47EG,Emergency Solutions Grant,Emergency Solutions Grant 17,47_47EG_Emergency Solutions Grant 17
47,Housing and Community Revitalization,47EG,Emergency Solutions Grant,Emergency Solutions Grant 18,47_47EG_Emergency Solutions Grant 18
47,Housing and Community Revitalization,47HM,Home,HOME 09 Administration,47_47HM_HOME 09 Administration
47,Housing and Community Revitalization,47HM,Home,HOME 11 Administration,47_47HM_HOME 11 Administration
