Age code,Establishment Age
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
110,26+ years
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
150,Left Censored
