player,position,minutes,field_goal_perc,three_point_perc,free_throw_perc,rebounds,assists,steals,blocks,points,team,conference,scorer_category
Jared Dudley,PF,21.3,0.454,0.379,0.662,3.5,1.9,0.7,0.3,6.8,PHX,West,Low Scorer
John Henson,C,19.4,0.515,0.0,0.6920000000000001,5.1,1.0,0.5,1.3,6.8,MIL,East,Low Scorer
Patrick Patterson,PF,24.6,0.401,0.3720000000000001,0.7170000000000001,4.5,1.2,0.6,0.4,6.8,TOR,East,Low Scorer
Bobby Portis,PF,15.6,0.488,0.333,0.6609999999999999,4.6,0.5,0.3,0.2,6.8,CHI,East,Low Scorer
Brandan Wright,PF,16.0,0.615,0.0,0.657,2.8,0.5,0.4,0.7,6.8,MEM,West,Low Scorer
Alec Burks,SG,15.5,0.399,0.329,0.769,2.9,0.7,0.4,0.1,6.7,UTAH,West,Low Scorer
Raymond Felton,PG,21.3,0.43,0.319,0.7809999999999999,2.7,2.4,0.8,0.3,6.7,LAC,West,Low Scorer
Devin Harris,PG,16.7,0.399,0.328,0.8290000000000001,2.0,2.1,0.7,0.1,6.7,DAL,West,Low Scorer
Dwight Powell,C,17.3,0.515,0.284,0.759,4.0,0.6,0.8,0.5,6.7,DAL,West,Low Scorer
Jaylen Brown,SF,17.2,0.454,0.341,0.685,2.8,0.8,0.4,0.2,6.6,BOS,East,Low Scorer
Michael Carter-Williams,PG,18.8,0.366,0.234,0.753,3.4,2.5,0.8,0.5,6.6,CHI,East,Low Scorer
Dante Cunningham,SF,25.0,0.485,0.392,0.593,4.2,0.6,0.6,0.4,6.6,NO,West,Low Scorer
Kosta Koufos,C,20.0,0.551,0.0,0.613,5.7,0.7,0.5,0.7,6.6,SAC,West,Low Scorer
Andre Roberson,SF,30.1,0.464,0.245,0.423,5.1,1.0,1.2,1.0,6.6,OKC,West,Low Scorer
Marcus Thornton,SG,17.4,0.4,0.35,0.852,2.3,1.2,0.6,0.1,6.6,WSH,East,Low Scorer
Sam Dekker,SF,18.4,0.473,0.321,0.5589999999999999,3.7,1.0,0.5,0.3,6.5,HOU,West,Low Scorer
Amir Johnson,PF,20.1,0.5760000000000001,0.409,0.67,4.6,1.8,0.6,0.8,6.5,BOS,East,Low Scorer
Darrell Arthur,PF,15.6,0.442,0.453,0.8640000000000001,2.7,1.0,0.5,0.5,6.4,DEN,West,Low Scorer
Timothe Luwawu-Cabarrot,SF,17.2,0.402,0.311,0.8540000000000001,2.2,1.1,0.5,0.1,6.4,PHI,East,Low Scorer
Rodney McGruder,SG,25.2,0.413,0.332,0.62,3.3,1.6,0.6,0.2,6.4,MIA,East,Low Scorer
Mirza Teletovic,PF,16.2,0.373,0.341,0.778,2.3,0.7,0.2,0.2,6.4,MIL,East,Low Scorer
Leandro Barbosa,SG,14.4,0.439,0.357,0.889,1.6,1.2,0.5,0.1,6.3,PHX,West,Low Scorer
Mindaugas Kuzminskas,SF,14.9,0.428,0.321,0.809,1.9,1.0,0.4,0.2,6.3,NY,East,Low Scorer
Kyle O'Quinn,C,15.6,0.521,0.118,0.7709999999999999,5.6,1.5,0.5,1.3,6.3,NY,East,Low Scorer
Nemanja Bjelica,PF,18.3,0.424,0.316,0.738,3.8,1.2,0.6,0.3,6.2,MIN,West,Low Scorer
Dante Exum,PG,18.6,0.4270000000000001,0.295,0.795,2.0,1.7,0.3,0.2,6.2,UTAH,West,Low Scorer
Jonathan Gibson,PG,13.6,0.368,0.333,0.7240000000000001,1.3,1.5,0.5,0.0,6.2,DAL,West,Low Scorer
Spencer Hawes,PF,14.8,0.484,0.309,0.846,3.5,1.5,0.3,0.6,6.2,MIL/CHA,East,Low Scorer
Trey Lyles,PF,16.3,0.362,0.319,0.722,3.3,1.0,0.4,0.3,6.2,UTAH,West,Low Scorer
Mike Muscala,C,17.7,0.504,0.418,0.7659999999999999,3.4,1.4,0.4,0.6,6.2,ATL,East,Low Scorer
Chandler Parsons,SF,19.9,0.338,0.269,0.8140000000000001,2.5,1.6,0.6,0.1,6.2,MEM,West,Low Scorer
Ramon Sessions,PG,16.2,0.38,0.339,0.7709999999999999,1.5,2.6,0.5,0.1,6.2,CHA,East,Low Scorer
Jonathon Simmons,SG,17.8,0.42,0.294,0.75,2.1,1.6,0.6,0.3,6.2,SA,West,Low Scorer
Troy Williams,SF,18.6,0.4370000000000001,0.29,0.6559999999999999,2.3,0.8,0.9,0.3,6.2,HOU/MEM,West,Low Scorer
Luc Mbah a Moute,SF,22.3,0.505,0.391,0.6779999999999999,2.1,0.5,1.0,0.4,6.1,LAC,West,Low Scorer
JaVale McGee,C,9.6,0.652,0.0,0.505,3.2,0.2,0.2,0.9,6.1,GS,West,Low Scorer
Zaza Pachulia,C,18.1,0.534,0.0,0.778,5.9,1.9,0.8,0.5,6.1,GS,West,Low Scorer
Derrick Williams,PF,16.1,0.443,0.309,0.652,2.6,0.6,0.3,0.1,6.1,CLE/MIA,East,Low Scorer
Alex Abrines,SG,15.5,0.393,0.381,0.898,1.3,0.6,0.5,0.1,6.0,OKC,West,Low Scorer
Bismack Biyombo,C,22.1,0.528,,0.534,7.0,0.9,0.3,1.1,6.0,ORL,East,Low Scorer
David Nwaba,SG,19.9,0.58,0.2,0.6409999999999999,3.2,0.7,0.7,0.4,6.0,LAL,West,Low Scorer
Lance Thomas,PF,21.0,0.398,0.447,0.843,3.1,0.8,0.5,0.1,6.0,NY,East,Low Scorer
Jerian Grant,PG,16.3,0.425,0.366,0.89,1.8,1.9,0.7,0.1,5.9,CHI,East,Low Scorer
Andrew Harrison,PG,20.5,0.325,0.276,0.763,1.9,2.8,0.7,0.3,5.9,MEM,West,Low Scorer
Domantas Sabonis,PF,20.1,0.399,0.321,0.657,3.6,1.0,0.5,0.4,5.9,OKC,West,Low Scorer
Beno Udrih,PG,14.4,0.467,0.344,0.941,1.5,3.4,0.3,0.0,5.8,DET,East,Low Scorer
Tarik Black,C,16.3,0.51,0.5,0.752,5.1,0.6,0.4,0.7,5.7,LAL,West,Low Scorer
Richard Jefferson,SF,20.4,0.446,0.333,0.741,2.6,1.0,0.3,0.1,5.7,CLE,East,Low Scorer
Jason Smith,C,14.4,0.529,0.474,0.6859999999999999,3.5,0.5,0.3,0.7,5.7,WSH,East,Low Scorer
Brandon Bass,PF,11.1,0.575,0.333,0.875,2.5,0.4,0.3,0.2,5.6,LAC,West,Low Scorer
Quinn Cook,PG,13.4,0.5,0.423,0.4,0.5,1.9,0.3,0.0,5.6,NO/DAL,West,Low Scorer
Gerald Green,SF,11.4,0.409,0.351,0.805,1.8,0.7,0.2,0.1,5.6,BOS,East,Low Scorer
Ian Mahinmi,C,17.9,0.586,,0.573,4.8,0.6,1.1,0.8,5.6,WSH,East,Low Scorer
Georgios Papagiannis,C,16.1,0.5489999999999999,0.0,0.857,3.9,0.9,0.1,0.8,5.6,SAC,West,Low Scorer
Delon Wright,PG,16.5,0.422,0.333,0.764,1.8,2.1,1.0,0.4,5.6,TOR,East,Low Scorer
Boban Marjanovic,C,8.4,0.545,,0.81,3.7,0.3,0.2,0.3,5.5,DET,East,Low Scorer
Terry Rozier,PG,17.1,0.3670000000000001,0.318,0.773,3.1,1.8,0.6,0.1,5.5,BOS,East,Low Scorer
Paul Zipser,SF,19.2,0.398,0.333,0.775,2.8,0.8,0.3,0.4,5.5,CHI,East,Low Scorer
Malcolm Delaney,PG,17.1,0.374,0.236,0.8059999999999999,1.7,2.6,0.5,0.0,5.4,ATL,East,Low Scorer
Meyers Leonard,PF,16.5,0.386,0.347,0.875,3.2,1.0,0.2,0.4,5.4,POR,West,Low Scorer
Alexis Ajinca,C,15.0,0.5,0.0,0.725,4.5,0.3,0.5,0.6,5.3,NO,West,Low Scorer
Chasson Randle,PG,11.5,0.408,0.34,0.953,1.2,1.3,0.3,0.1,5.3,NY/PHI,East,Low Scorer
Willie Reed,C,14.5,0.568,0.25,0.557,4.7,0.4,0.3,0.7,5.3,MIA,East,Low Scorer
Omri Casspi,SF,17.9,0.47,0.349,0.586,3.1,1.0,0.6,0.1,5.2,NO/MIN/SAC,West,Low Scorer
Mike Dunleavy,SF,15.9,0.423,0.396,0.8,2.2,0.9,0.3,0.1,5.2,ATL/CLE,East,Low Scorer
Randy Foye,SG,18.6,0.363,0.33,0.857,2.2,2.0,0.5,0.1,5.2,BKN,East,Low Scorer
Dewayne Dedmon,C,17.5,0.622,,0.6990000000000001,6.5,0.6,0.5,0.8,5.1,SA,West,Low Scorer
Cheick Diallo,PF,11.7,0.474,,0.7140000000000001,4.3,0.2,0.2,0.4,5.1,NO,West,Low Scorer
Shaun Livingston,PG,17.7,0.547,0.333,0.7,2.0,1.8,0.5,0.3,5.1,GS,West,Low Scorer
Luis Scola,PF,12.8,0.47,0.34,0.6759999999999999,3.9,1.0,0.4,0.1,5.1,BKN,East,Low Scorer
Wayne Selden,SG,16.9,0.431,0.25,0.636,1.1,0.9,0.4,0.1,5.1,NO/MEM,West,Low Scorer
Denzel Valentine,SG,17.1,0.354,0.351,0.778,2.6,1.1,0.5,0.1,5.1,CHI,East,Low Scorer
Anthony Bennett,PF,11.5,0.413,0.271,0.722,3.4,0.5,0.2,0.1,5.0,BKN,East,Low Scorer
Aaron Brooks,PG,13.8,0.403,0.375,0.8,1.1,1.9,0.4,0.1,5.0,IND,East,Low Scorer
Trey Burke,PG,12.3,0.455,0.443,0.759,0.8,1.8,0.2,0.1,5.0,WSH,East,Low Scorer
Joakim Noah,C,22.1,0.49,0.0,0.436,8.8,2.2,0.7,0.8,5.0,NY,East,Low Scorer
Thomas Robinson,PF,11.7,0.536,0.0,0.47,4.6,0.6,0.5,0.2,5.0,LAL,West,Low Scorer
Aron Baynes,C,15.5,0.513,,0.84,4.4,0.4,0.2,0.5,4.9,DET,East,Low Scorer
Juan Hernangomez,PF,13.6,0.451,0.407,0.75,3.0,0.5,0.5,0.2,4.9,DEN,West,Low Scorer
Mario Hezonja,SF,14.8,0.355,0.299,0.8,2.2,1.0,0.5,0.2,4.9,ORL,East,Low Scorer
Josh McRoberts,PF,17.3,0.373,0.419,0.667,3.4,2.3,0.5,0.2,4.9,MIA,East,Low Scorer
Tiago Splitter,C,9.5,0.452,0.333,0.818,2.8,0.5,0.1,0.1,4.9,PHI,East,Low Scorer
Luke Babbitt,SF,15.7,0.402,0.414,0.733,2.1,0.5,0.3,0.2,4.8,MIA,East,Low Scorer
Jarell Eddie,SF,12.4,0.316,0.25,0.889,1.4,0.0,0.2,0.0,4.8,PHX,West,Low Scorer
Cristiano Felicio,C,15.8,0.579,,0.645,4.7,0.6,0.4,0.3,4.8,CHI,East,Low Scorer
Kevin Seraphin,PF,11.4,0.551,0.0,0.636,2.9,0.5,0.1,0.4,4.7,IND,East,Low Scorer
Isaiah Canaan,SG,15.2,0.364,0.266,0.909,1.3,0.9,0.6,0.0,4.6,CHI,East,Low Scorer
Boris Diaw,PF,17.6,0.446,0.247,0.743,2.2,2.3,0.2,0.1,4.6,UTAH,West,Low Scorer
Kris Humphries,PF,12.3,0.407,0.352,0.78,3.7,0.5,0.3,0.4,4.6,ATL,East,Low Scorer
David West,C,12.6,0.536,0.375,0.768,3.0,2.2,0.6,0.7,4.6,GS,West,Low Scorer
Davis Bertans,PF,12.1,0.44,0.399,0.8240000000000001,1.5,0.7,0.3,0.4,4.5,SA,West,Low Scorer
Corey Brewer,SF,15.6,0.422,0.229,0.735,2.0,1.2,0.7,0.2,4.5,HOU/LAL,West,Low Scorer
Reggie Bullock,SF,15.1,0.422,0.384,0.7140000000000001,2.1,0.9,0.6,0.1,4.5,DET,East,Low Scorer
C.J. Watson,PG,16.3,0.387,0.305,0.8640000000000001,1.4,1.8,0.7,0.0,4.5,ORL,East,Low Scorer
Pierre Jackson,PG,10.5,0.333,0.273,0.857,1.1,2.4,0.3,0.0,4.4,DAL,West,Low Scorer
Stanley Johnson,SF,17.8,0.353,0.292,0.679,2.5,1.4,0.7,0.3,4.4,DET,East,Low Scorer
Jordan McRae,SG,10.4,0.387,0.353,0.794,1.1,0.5,0.2,0.2,4.4,CLE,East,Low Scorer
Donatas Motiejunas,PF,14.1,0.413,0.234,0.51,3.0,0.9,0.5,0.3,4.4,NO,West,Low Scorer
Lucas Nogueira,C,19.1,0.66,0.25,0.657,4.3,0.7,0.9,1.6,4.4,TOR,East,Low Scorer
Jarrod Uthoff,PF,12.8,0.421,0.333,0.7140000000000001,2.4,1.0,0.2,0.4,4.4,DAL,West,Low Scorer
Noah Vonleh,PF,17.1,0.481,0.35,0.638,5.2,0.4,0.4,0.4,4.4,POR,West,Low Scorer
Ed Davis,PF,17.2,0.528,,0.617,5.3,0.6,0.3,0.5,4.3,POR,West,Low Scorer
Tyler Ennis,PG,11.1,0.433,0.386,0.84,0.8,1.6,0.5,0.0,4.3,HOU/LAL,West,Low Scorer
Dorian Finney-Smith,PF,20.3,0.3720000000000001,0.293,0.754,2.7,0.8,0.6,0.3,4.3,DAL,West,Low Scorer
Brandon Rush,SG,21.9,0.374,0.386,0.722,2.1,1.0,0.5,0.5,4.2,MIN,West,Low Scorer
Pascal Siakam,PF,15.6,0.502,0.143,0.688,3.4,0.3,0.5,0.8,4.2,TOR,East,Low Scorer
Ron Baker,SG,16.5,0.378,0.267,0.6509999999999999,1.9,2.1,0.7,0.2,4.1,NY,East,Low Scorer
Shabazz Napier,PG,9.7,0.399,0.37,0.7759999999999999,1.2,1.3,0.6,0.0,4.1,POR,West,Low Scorer
Jason Terry,SG,18.4,0.4320000000000001,0.4270000000000001,0.828,1.4,1.3,0.6,0.3,4.1,MIL,East,Low Scorer
Kay Felder,PG,9.2,0.392,0.318,0.7140000000000001,1.0,1.4,0.4,0.2,4.0,CLE,East,Low Scorer
Thon Maker,C,9.9,0.459,0.378,0.653,2.0,0.4,0.2,0.5,4.0,MIL,East,Low Scorer
Patrick McCaw,SG,15.1,0.433,0.333,0.784,1.4,1.1,0.5,0.2,4.0,GS,West,Low Scorer
Jarell Martin,PF,13.3,0.384,0.36,0.8,3.9,0.2,0.4,0.2,3.9,MEM,West,Low Scorer
Malik Beasley,SG,7.5,0.452,0.321,0.8,0.8,0.5,0.3,0.0,3.8,DEN,West,Low Scorer
Kris Dunn,PG,17.1,0.377,0.288,0.61,2.1,2.4,1.0,0.5,3.8,MIN,West,Low Scorer
Jonas Jerebko,PF,15.8,0.435,0.346,0.703,3.5,0.9,0.3,0.2,3.8,BOS,East,Low Scorer
Malachi Richardson,SG,9.0,0.412,0.286,0.789,1.0,0.5,0.2,0.0,3.6,SAC,West,Low Scorer
Tyus Jones,PG,12.9,0.414,0.356,0.767,1.1,2.6,0.8,0.1,3.5,MIN,West,Low Scorer
Adreian Payne,PF,7.5,0.426,0.2,0.737,1.8,0.4,0.4,0.4,3.5,MIN,West,Low Scorer
Brian Roberts,PG,10.1,0.377,0.386,0.846,1.0,1.3,0.2,0.0,3.5,CHA,East,Low Scorer
Rashad Vaughn,SG,11.2,0.365,0.321,0.4,1.2,0.6,0.5,0.2,3.5,MIL,East,Low Scorer
Tyler Zeller,C,10.3,0.494,0.0,0.564,2.4,0.8,0.1,0.4,3.5,BOS,East,Low Scorer
Kyle Anderson,SG,14.2,0.445,0.375,0.789,2.9,1.3,0.7,0.4,3.4,SA,West,Low Scorer
Dragan Bender,PF,13.3,0.354,0.277,0.364,2.4,0.5,0.2,0.5,3.4,PHX,West,Low Scorer
Dejounte Murray,PG,8.5,0.431,0.391,0.7,1.1,1.3,0.2,0.2,3.4,SA,West,Low Scorer
Jared Sullinger,PF,10.7,0.319,0.1669999999999999,0.5,2.5,0.3,0.4,0.1,3.4,TOR,East,Low Scorer
Norris Cole,PG,9.6,0.308,0.231,0.8,0.8,1.1,0.6,0.0,3.3,OKC,West,Low Scorer
Darrun Hilliard,SG,9.8,0.373,0.261,0.75,0.8,0.8,0.3,0.1,3.3,DET,East,Low Scorer
Nicolas Laprovittola,PG,9.7,0.426,0.37,1.0,0.6,1.6,0.2,0.1,3.3,SA,West,Low Scorer
Henry Ellenson,PF,7.7,0.359,0.286,0.5,2.2,0.4,0.1,0.1,3.2,DET,East,Low Scorer
Paul Pierce,SF,11.1,0.4,0.349,0.769,1.9,0.4,0.2,0.2,3.2,LAC,West,Low Scorer
Maurice Ndour,PF,10.3,0.453,0.143,0.731,2.0,0.3,0.5,0.3,3.1,NY,East,Low Scorer
Jakob Poeltl,C,11.6,0.583,,0.544,3.1,0.2,0.3,0.4,3.1,TOR,East,Low Scorer
Jarrett Jack,PG,16.5,0.667,0.0,1.0,0.0,2.5,1.0,0.0,3.0,NO,West,Low Scorer
Sasha Vujacic,SG,9.7,0.309,0.311,0.708,1.4,1.2,0.3,0.0,3.0,NY,East,Low Scorer
Lavoy Allen,PF,14.3,0.458,0.0,0.6970000000000001,3.6,0.9,0.3,0.4,2.9,IND,East,Low Scorer
Alan Anderson,SF,10.3,0.375,0.318,0.75,0.8,0.4,0.1,0.0,2.9,LAC,West,Low Scorer
Semaj Christon,PG,15.2,0.345,0.19,0.5479999999999999,1.4,2.0,0.4,0.1,2.9,OKC,West,Low Scorer
Salah Mejri,C,12.4,0.642,0.333,0.59,4.2,0.2,0.4,0.8,2.9,DAL,West,Low Scorer
Fred VanVleet,PG,7.9,0.351,0.379,0.818,1.1,0.9,0.4,0.1,2.9,TOR,East,Low Scorer
Jeff Withey,C,8.5,0.534,0.0,0.75,2.4,0.1,0.3,0.6,2.9,UTAH,West,Low Scorer
Nicolas Brussino,SF,9.6,0.369,0.305,0.773,1.8,0.9,0.3,0.1,2.8,DAL,West,Low Scorer
James Jones,SF,7.9,0.478,0.47,0.65,0.8,0.3,0.1,0.2,2.8,CLE,East,Low Scorer
James Michael McAdoo,PF,8.8,0.53,0.25,0.5,1.8,0.3,0.3,0.6,2.8,GS,West,Low Scorer
Chinanu Onuaku,C,10.4,0.7140000000000001,,1.0,2.0,0.6,0.6,0.2,2.8,HOU,West,Low Scorer
Kyle Singler,SF,12.0,0.41,0.189,0.765,1.5,0.3,0.2,0.2,2.8,OKC,West,Low Scorer
Okaro White,PF,13.5,0.379,0.353,0.909,2.3,0.6,0.3,0.3,2.8,MIA,East,Low Scorer
Omer Asik,C,15.5,0.477,,0.59,5.3,0.5,0.2,0.3,2.7,NO,West,Low Scorer
DeAndre' Bembry,SF,9.8,0.48,0.056,0.375,1.6,0.7,0.2,0.1,2.7,ATL,East,Low Scorer
Marcelo Huertas,PG,10.3,0.368,0.211,0.529,1.0,2.3,0.4,0.1,2.7,LAL,West,Low Scorer
Wesley Johnson,SF,11.9,0.365,0.246,0.647,2.7,0.3,0.4,0.4,2.7,LAC,West,Low Scorer
Tomas Satoransky,SG,12.6,0.415,0.243,0.6970000000000001,1.5,1.6,0.5,0.1,2.7,WSH,East,Low Scorer
Christian Wood,PF,8.2,0.522,0.0,0.733,2.2,0.2,0.2,0.5,2.7,CHA,East,Low Scorer
Bryn Forbes,SG,7.9,0.364,0.321,0.833,0.6,0.6,0.0,0.0,2.6,SA,West,Low Scorer
Andrew Nicholson,PF,9.0,0.387,0.185,0.643,1.6,0.3,0.4,0.2,2.6,BKN/WSH,East,Low Scorer
Bobby Brown,PG,4.9,0.383,0.4,1.0,0.2,0.6,0.0,0.0,2.5,HOU,West,Low Scorer
Pat Connaughton,SG,8.1,0.514,0.515,0.778,1.3,0.7,0.2,0.1,2.5,POR,West,Low Scorer
Kevon Looney,C,8.4,0.523,0.222,0.618,2.3,0.5,0.3,0.3,2.5,GS,West,Low Scorer
Raul Neto,PG,8.7,0.451,0.3229999999999999,0.889,0.8,0.9,0.5,0.1,2.5,UTAH,West,Low Scorer
Miles Plumlee,C,10.8,0.478,,0.6409999999999999,2.1,0.5,0.4,0.3,2.5,MIL/CHA,East,Low Scorer
Mike Scott,PF,10.8,0.288,0.148,0.875,2.1,0.9,0.2,0.2,2.5,ATL,East,Low Scorer
Chris Andersen,C,9.5,0.409,0.0,0.7140000000000001,2.6,0.4,0.4,0.6,2.3,CLE,East,Low Scorer
Chris McCullough,PF,5.0,0.5,0.143,0.6,1.2,0.1,0.1,0.1,2.3,BKN/WSH,East,Low Scorer
Greivis Vasquez,PG,13.0,0.25,0.333,0.667,0.7,1.7,0.3,0.3,2.3,BKN,East,Low Scorer
Metta World Peace,SF,6.4,0.279,0.237,0.625,0.8,0.4,0.4,0.1,2.3,LAL,West,Low Scorer
James Young,SG,7.6,0.431,0.343,0.667,0.9,0.1,0.3,0.1,2.3,BOS,East,Low Scorer
Jake Layman,SF,7.1,0.292,0.255,0.765,0.7,0.3,0.3,0.1,2.2,POR,West,Low Scorer
Treveon Graham,SG,7.0,0.475,0.6,0.667,0.8,0.2,0.2,0.0,2.1,CHA,East,Low Scorer
Joe Young,PG,4.1,0.361,0.217,0.733,0.5,0.5,0.1,0.0,2.1,IND,East,Low Scorer
Rakeem Christmas,PF,7.6,0.442,,0.7240000000000001,1.9,0.1,0.1,0.2,2.0,IND,East,Low Scorer
Demetrius Jackson,PG,3.4,0.75,1.0,0.5,0.8,0.6,0.0,0.0,2.0,BOS,East,Low Scorer
Udonis Haslem,C,8.1,0.478,0.0,0.6,2.3,0.4,0.4,0.1,1.9,MIA,East,Low Scorer
Damian Jones,C,8.5,0.5,,0.3,2.3,0.0,0.1,0.4,1.9,GS,West,Low Scorer
Marshall Plumlee,C,8.1,0.5329999999999999,,0.421,2.4,0.5,0.2,0.2,1.9,NY,East,Low Scorer
Tim Quarterman,SG,5.0,0.448,0.385,0.0,0.9,0.7,0.1,0.2,1.9,POR,West,Low Scorer
Joel Bolomboy,PF,4.4,0.563,0.25,0.5,1.4,0.2,0.1,0.2,1.8,UTAH,West,Low Scorer
Lamar Patterson,SG,8.0,0.2,0.1669999999999999,0.667,1.4,1.2,0.2,0.0,1.8,ATL,East,Low Scorer
Damjan Rudez,SF,7.0,0.352,0.313,,0.6,0.4,0.3,0.0,1.8,ORL,East,Low Scorer
Cole Aldrich,C,8.6,0.523,,0.682,2.5,0.4,0.4,0.4,1.7,MIN,West,Low Scorer
Nick Collison,PF,6.4,0.609,0.0,0.625,1.6,0.6,0.1,0.1,1.7,OKC,West,Low Scorer
Jordan Hill,C,6.7,0.385,,1.0,2.0,0.0,0.1,0.0,1.7,MIN,West,Low Scorer
Bruno Caboclo,SF,4.4,0.375,0.333,,1.1,0.4,0.2,0.1,1.6,TOR,East,Low Scorer
Deyonta Davis,C,6.6,0.511,,0.556,1.7,0.1,0.1,0.5,1.6,MEM,West,Low Scorer
Ryan Kelly,PF,6.9,0.286,0.4,0.833,1.1,0.5,0.3,0.3,1.6,ATL,East,Low Scorer
Jordan Mickey,PF,5.6,0.441,0.0,0.5710000000000001,1.4,0.3,0.1,0.2,1.5,BOS,East,Low Scorer
Mike Miller,SF,7.6,0.391,0.4,1.0,1.9,1.1,0.1,0.0,1.4,DEN,West,Low Scorer
Diamond Stone,C,3.4,0.231,,1.0,0.9,0.0,0.0,0.1,1.4,LAC,West,Low Scorer
Joel Anthony,C,6.4,0.625,,0.625,1.6,0.2,0.1,0.3,1.3,SA,West,Low Scorer
Brice Johnson,PF,3.0,0.286,,,1.0,0.3,0.7,0.3,1.3,LAC,West,Low Scorer
Daniel Ochefu,C,3.9,0.444,,0.0,1.2,0.2,0.1,0.0,1.3,WSH,East,Low Scorer
Anderson Varejao,C,6.6,0.357,,0.727,1.9,0.7,0.2,0.2,1.3,GS,West,Low Scorer
Stephen Zimmerman,C,5.7,0.3229999999999999,,0.6,1.8,0.2,0.1,0.3,1.2,ORL,East,Low Scorer
Ronnie Price,PG,9.6,0.1669999999999999,0.176,0.75,0.8,1.3,0.8,0.1,1.0,PHX,West,Low Scorer
Mike Tobey,C,12.5,0.25,,,1.5,0.5,0.0,0.0,1.0,CHA,East,Low Scorer
Georges Niang,PF,4.0,0.25,0.083,1.0,0.7,0.2,0.1,0.0,0.9,IND,East,Low Scorer
Kyle Wiltjer,PF,3.1,0.286,0.308,0.5,0.7,0.1,0.2,0.1,0.9,HOU,West,Low Scorer
Alonzo Gee,SF,6.8,0.214,0.0,0.556,1.2,0.5,0.4,0.1,0.8,DEN,West,Low Scorer
Isaiah Taylor,PG,13.0,0.143,0.0,0.5,0.8,0.8,0.3,0.3,0.8,HOU,West,Low Scorer
Michael Gbinije,SG,3.6,0.1,0.0,1.0,0.3,0.2,0.0,0.0,0.4,DET,East,Low Scorer
John Lucas III,PG,2.2,0.25,0.0,,0.0,0.2,0.4,0.0,0.4,MIN,West,Low Scorer
Aaron Harrison,SG,3.4,0.0,0.0,0.5,0.6,0.6,0.0,0.0,0.2,CHA,East,Low Scorer
